English,Uzbek
encountered,duch kelgan
attacks,Hujumlar
monster,yirtqich hayvon
Simon,Simon
maintaining,saqlab turish
sites,saytlar
frozen,muzlatilgan
invariably,har doim
dies,o'lmoq
survive,tirik qolmoq
literally,tom ma'noda
consolation,tasalliligi
m,shodlik
phenomena,fenomen
pot,qozon
Ellen,Elen
briefly,qisqacha
rice,guruch
planned,rejalashtirilgan
Barbara,Barbara
respected,hurmatga sazovor
sublime,ulug'vor
dropping,o'g'rilar
guy,yigit
behaviour,xulq
desolate,xarob qilmoq
penny,tiniq
adopt,qabul qilmoq
replaced,almashtirildi
revenue,daromad
formats,format
hired,yollangan
regularly,muntazam ravishda
infringement,buzish
curtains,pardalar
eagerness,ishtiyoq
helping,yordam berish
investigation,tergov
constitutional,konstitutsiyaviy
insist,talab qilmoq
occurs,sodir bo'lmoq
fools,ahmoq
inheritance,meros olish
latest,eng so'nggi
leap,sakrash
games,o'yinlar
apple,olma
visiting,tashrif buyuradigan
travellers,sayohatchilar
experiments,Tajribalar
hasn't,yo'q
pupil,o'quvchi
enjoying,zavq
totally,butunlay
twisted,buralgan
discuss,muhokama qilmoq
firing,otash
background,fon
subscribe,obuna bo'lish
tenderly,muloyimlik bilan
transcribe,yozmoq
descend,boshlamoq
differ,farq qilmoq
majesty's,kattalar
avail,foyda
disaster,tabiiy ofat
bet,garov
periodic,davriy
bull,buqa
entertainment,o'yin-kulgi
computers,Kompyuterlar
cursed,la'nati
raw,xom
fulfilled,bajarildi
Georgia,Gruziya
virus,virus
log,jurnal
skies,osmon
scotch,skotch
embraced,ochko'z
hospitality,mehmondo'stlik
faintly,zolimlarcha
Solomon,Simon
robbed,talon-taroj
cart,arava
influences,ta'sir
ascended,ko'tarilgan
incidents,Voqealar
childish,bolalarga xos bo'lgan
robe,xalat
aboard,sust
resembling,o'xshash
reflect,fikr yuritmoq
dominion,dominion
dreary,g'amgin
serving,xizmat qilish
complexion,qo'pol
engage,jalb qilmoq
tents,chodirlar
herd,poda
attain,qo'lga kiritmoq
collect,yig'moq
disclaims,rad qilmoq
pan,pova
relatives,qarindoshlar
borrowed,qarzga olingan
convert,aylantirmoq
outline,rejalashtirmoq
blown,puflamoq
comprehend,tushunmoq
peasants,dehqonlar
opera,opera
assault,hujum
deceive,aldamoq
doctrines,ta'limotlar
representatives,vakil
dedicated,bag'ishlangan
struggled,qiynalib ketmoq
officials,rasmiylar
hiding,yashirin
paths,yo'llar
backs,orqa
prominently,ma'nodor
prices,narxlar
procured,sotib olindi
mourning,motam
compliment,iltifot
heights,balandlik
approval,tasdiqlash
gasped,jahannam
breadth,kenglik
withdraw,chekinmoq
tune,sozlamoq
compassion,rahm-shafqat
polished,sayqal qilingan
latitude,kenglik
dishes,idishlar
parent,ota-ona
contrived,muqarrar
delicacy,noziklik
projected,rejalashtirilgan
akin,qarindosh
f,favqulodda
betray,xiyonat qilmoq
traced,tiniq
resentment,xafagarchilik
indemnify,qoplamoq
pseud,psev
sacrifices,qurbonliklar
disguise,niqoblamoq
transcription,transkripsiya
document,hujjat
neighbour,qo'shni
squire,kidgi
punish,jazolamoq
bars,barlar
glittering,yaltiroq
tossed,yirtilgan
block,to'smoq
lots,juda ko'p
worldly,dunyoviy
muscles,mushaklar
elbow,tirsak
obligation,majburiyat
trifling,arzimagan narsa
decline,pasaytirmoq
attachment,biriktirish
ambitious,shuhratparast
filename,Fayl nomi
artists,san'atkorlar
bloom,gullamoq
holiday,bayram
brute,shafqatsiz
repair,tuzatish
fist,musht
recollect,eslamoq
eagle,burgut
honorable,sharafli
significant,ahamiyatli
barren,tug'maydigan
functions,Vazifalar
guided,rahbarlik qilgan
dense,zich
fiction,badiiy asar
viz.,viz.
adds,qo'shmoq
rows,qatorlar
recommend,tavsiya etmoq
suspicious,shubhali
resulting,natijada
seventy,yetmish
shillings,shilling
educational,ta'lim
duly,tegishlicha
governed,boshqariladigan
scripture,oyna
upwards,yuqoriga
sworn,qasam ichgan
Nicholas,Nikolay
horn,shox
brook,shapka
fund,fond
Vienna,Vena
lodge,turar joy
infinitely,bepoyon
clergyman,ruhoniy
marshal,marshal
ruled,hukmronlik qiladigan
fiercely,shiddatli
Portuguese,Portugalcha
costume,kostyum
pit,chuqur
disorder,tartibsizlik
sheer,shirk
exalted,yuksak
fare,yo'l haqi
applause,qarsaklar
Chaucer,Chaucer
remind,eslatmoq
binary,ikkilik
packed,qadoqlangan
pillow,yostiq
jersey,jersi
abbey,abbey
nowhere,hech qayerda
anyhow,har qanday
agitated,hayajonlangan
marching,yurish
catching,ushlash
el,kelinmoq
grasped,tushunib bo'lmaydigan
arrow,o'q
tend,moyil
carved,o'yilgan
fitting,o'rinli
bonds,obligatsiyalar
instructed,o'rgatilgan
elaborate,aniqlamoq
corpse,murda
bewildered,xijolat tortgan
essence,mohiyat
positions,Joylar
Emily,Emuly
edited,tahrir qilingan
continues,davom ettirmoqda
Harold,Qotib qolmoq
elevation,balandlik
realm,podsholik
debts,qarzlar
glancing,ko'zdan tushgan
shops,do'kon
complained,shikoyat qildi
loyalty,sodiqlik
coin,tanga
clad,klaka
staircase,zinapoya
documents,hujjatlar
interpreted,talqin qilingan
4th,4-chi
extremity,ekstremal
accord,kelishuv
sally,ayyor
lace,to'ntarmoq
tremble,qaltiramoq
exile,surgun
gospel,xushxabar
mechanical,mexanik
successfully,muvaffaqiyatli
scholar,olim
wonders,mo'jiza
Arab,Arab
temperament,fe'l
expressing,ifodalovchi
Fred,Fred
trap,tuzoq
spots,dog'lar
awaiting,kutish
potatoes,kartoshka
likeness,o'xshashlik
harbour,portlamoq
proofs,dalillar
jolly,hazilkash
contributed,hissa qo'shgan
wits,soyabon
generosity,saxiylik
ruler,ximer
Lawrence,Lokillik
cake,tort
lamps,chiroqlar
crazy,aqldan ozgan
sincerity,samimiylik
entertain,ko'ngil ochmoq
madame,madam
sir,janob
faculties,Fakultetlar
hesitate,ikkilanmoq
deepest,eng chuqur
seventeen,o'n yetti
lordship,hukmronlik
greeting,salomlashish
feminine,ayollik
monstrous,dahshatli
tongues,tillar
barely,zo'rg'a
3d,3D
mansion,saroy
facility,qulaylik
praised,maqtagan
warranties,kafillik
Sarah,Sorah
happier,baxtli
indicating,ko'rsatish
rob,talamoq
gigantic,gigant
honey,asal
ladder,narvon
ending,tugatish
Wales,Metrosi
swallowed,yutmoq
sunny,quyoshli
knelt,tizzasi
tyranny,zolimona
decree,farmon
stake,ustun
divide,bo'lmoq
dreaming,orzu
proclaimed,e'lon qilindi
dignified,munosib
tread,yurmoq
mines,minalar
viewing,ko'rish
defense,mudofaa
oldest,eng qadimgi
incredible,aql bovar qilmaydigan
bidding,savdo
brick,g'isht
arch,arch
everlasting,boqiy
elect,saylamoq
sprung,qizargan
harder,Qattiqroq
winding,o'rash
deductible,ushlab qolinadigan
magistrate,magistratura
respective,tegishli
liquor,suyuqlik
imitation,taqlid
shy,shy
perished,halok bo'lmoq
prime,asosiy
studying,tadqiq qilish
eighty,sakson
Hebrew,Ibroniy
unfortunately,afsuski
licensed,litsenziyalangan
fog,tuman
coloured,rangli
bits,bit
consult,maslahat bermoq
moves,harakat
r,r
warn,ogohlantirmoq
Taylor,Tayoq
vile,yaramas
depended,bog'liq bo'lgan
Phil,Fil
legend,afsona
locations,joylar
shallow,sayoz
doom,halok bo'lmoq
dreaded,qo'rqinchli
encouragement,rag'batlantirish
impatiently,sabrsizlik bilan
scent,hid
varieties,navlari
irregular,tartibsiz
battles,janglar
compass,kompas
neighbouring,qo'shni
bliss,saxiy
harvest,yig'im
promotion,reklama
stove,pechka
faithfully,sadoqat bilan
Anthony,Chigal
excellence,mukammallik
transfer,o'tkazmoq
awaited,kutilgan
heathen,majusiy
poetic,she'riy
consulted,ochiq
illustrated,tasvirlangan
Gilbert,Gilbert
br,dud
fundamental,fundamental
bundle,bir to'plam
rebel,isyonchi
cultivation,etishtirish
joys,quvonch
rigid,qattiq
tragic,fojiali
review,ko'rib chiqmoq
representing,vakillik
flowed,oqargan
brows,qoshlar
whereupon,qayiq
terribly,dahshatli
melted,eritilgan
venerable,hurmatli
towers,minoralar
cooking,pishirish
mustn't,emas
suspicions,shubha
old-fashioned,qadimgi
oppressed,ezilgan
Australia,Avstraliya
friend's,do'stingiz
revolt,qo'zg'olon
swell,shishmoq
improve,yaxshilamoq
Williams,Uamyams
describes,tasvirlaydi
goddess,ma'buda
wreck,halokatga uchramoq
Tennessee,Tennessi
convince,ishontirmoq
sentences,jumlalar
bowl,kosa
radiant,yorqin
Prussia,Prussiya
westward,g'arb tomon
indignant,g'azablangan
refined,toza
unseen,ko'rinmaydigan
illustration,rasm
pertaining,tegishli
swamp,botqoq
Austrian,Avstriyalik
Saxon,Saks
congregation,jamoat
nerve,asab
undertaking,xo'jayin
disclaimer,rad qilish
characteristics,xususiyatlar
stare,qaramoq
specimens,namuna
ascertain,aniqlamoq
pledge,garov
earn,ishlab topmoq
warfare,urush
supposing,o'ylab topmoq
subsequently,keyinchalik
attending,qatnashish
angrily,jahl bilan
select,tanlamoq
animated,jonlantirilgan
industrial,sanoat
hurriedly,shoshqaloqlik bilan
manhood,erkaklik
quantities,miqdor
interpretation,talqin qilish
Word,So'z
dressing,kiyinish
rejoiced,xursand bo'lgan
Edinburgh,Edinburg
Catherine,Ketrin
challenge,qiyinchilik
produces,ishlab chiqaradi
forbid,taqiqlamoq
gang,to'da
boiled,qaynatilgan
shouts,baqiriq
so-called,chaqqon
theme,mavzuni
thankful,minnatdor
admission,qabul qilish
enters,kiradi
elevated,baland
Frenchman,Fransuz tili
pool,pul
terrified,vahimali
lads,yigitlar
persisted,davomi davomiga turib qolmoq
conference,konferensiya
equality,tenglik
genus,gens
didst,derst
newly,Yangi
generals,generallar
surroundings,atrof
sorrows,qayg'u
occasioned,vaqti
invasion,bostirib kirish
workmen,ishchilar
monks,rohiblar
sends,yuboradi
Turkish,Turkcha
discretion,ehtiyotkorlik
pattern,naqsh
reveal,oshkor qilmoq
endured,chidagan
resolve,hal qilmoq
Columbia,Kolumbiya
preach,va'z qilmoq
exceeding,oshiq
ringing,jiringlash
triumphant,zafarli
defiance,bo'ysunmaslik
errand,topshirmoq
woke,uyg'onmoq
grandmother,buvisi
weighed,og'ir
wool,jun
Orleans,Orlean
communicate,muloqot qilmoq
strikes,zarba
promising,istiqbolli
scenery,manzara
righteous,solih
essentially,aslida
oppose,qarshi chiqmoq
joyous,quvnoq
specimen,namuna
doctors,Shifokorlar
eloquent,notiq
manager,menejer
organs,organlar
sticks,tayoqlar
drag,sudramoq
haunted,g'amgin
chorus,xor
rational,oqilona
crop,hosil
processing,qayta ishlash
accurate,aniq
wolf,bo'ri
adorned,bezatilgan
sheets,choyshablar
resort,kurort
refusal,voz kechish
bond,obligatsiya
vicinity,yaqinlik
preacher,voiz
sympathetic,rahmli
casting,kasting
opens,ochadi
prophets,payg'ambarlar
horns,shox
warmly,iliq
salary,ish haqi
continuous,davomiy
Satan,Shayton
continual,doimiy
defended,himoya qilingan
breaks,tanaffus
workers,ishchilar
lantern,chiroq
balls,sharlar
rod,tayoqchi
blaze,do'zax
examining,tekshirish
Naples,Natriy
peculiarly,o'ziga xos
vegetables,sabzavotlar
ingenious,juda katta
excite,hayajonlantirmoq
Howard,Xokal
horseback,ot
re-use,qayta ishlatmoq
Louisiana,Louiziana
farmers,Fermerlar
wildly,yovvoyi
mouths,og'izlar
carpet,gilam
sadness,g'amginlik
customary,odatiy
circles,doiralar
aren't,emas
wonderfully,ajoyib
max,mix
Juan,Xiyan
successor,voris
allied,ittifoqchi
ceiling,shift
confirmation,tasdiqlash
glances,ko'z
diamonds,olmoslar
goal,maqsad
representations,vakolatxonalar
cash,naqd pul
vacant,bo'sh
antiquity,antik davr
despise,nafratlanmoq
lawn,maysazor
they'll,ular
appealed,jozibador
turkey,kurka
texts,Matnlar
neighbor,qo'shni
spreading,tarqalish
discharged,bo'shashtirilmagan
phrases,iboralar
ultimate,yakuniy
tastes,did
submission,topshirish
entry,kirish
Rachel,Rohil
blush,qizarmoq
monument,yodgorlik
hardy,qattiq
thorough,puxta
ein,eyna
ecclesiastical,ruhoniy
fertile,serhosil
exciting,hayajonli
captive,asir
severity,jiddiylik
considerations,Ishlar chiqarish masalalari
shew,shod
faster,Tezroq
Louise,Luiza
grandeur,ulug'vorlik
winning,g'alaba
solely,yolg'iz
globe,globus
malice,yovuzlik
echoed,yangrilik
lodging,turar joy
conservative,konservativ
throng,ko'p
prosperous,gullab-yashnagan
whistle,hushtak
floated,suzib yurgan
transferred,o'tkazib yuborilgan
declaring,e'lon qilmoq
reckoned,hisoblangan
cheese,pishloq
bite,tishlamoq
thoughtfully,sinchkovlik bilan
breach,buzish
enthusiastic,g'ayratli
cars,avtomobillar
downstairs,pastga
allowing,ruxsat berish
invite,taklif qilmoq
adjoining,qo'shni
dusk,qorong'i
cathedral,ibodathona
truths,haqiqatlar
plague,o'lat
sandy,qumli
boil,qaynatmoq
Caroline,Karolin
beautifully,chiroyli
inhabited,istiqomat qiluvchi
tomorrow,ertaga
exclamation,undov
finishing,pardoz qilmoq
shocked,hayratda qolgan
escort,eskor
forgetting,unutish
hanged,osilgan
hats,shlyapa
mirth,xursandchilik
uncomfortable,noqulay
Connecticut,Konsertut
bows,kamon
pierced,teshilgan
harbor,portlamoq
tricks,fokus
rubbed,ishqalangan
apparatus,apparat
mysteries,sirlar
honesty,halollik
negroes,negrlar
concerns,tashvishlar
wander,sayr qilmoq
assert,tasdiqlamoq
ceremonies,marosimlar
sacrificed,qurbonlik qilingan
utterance,gaplashish
dismay,qo'rqitmoq
fright,qo'rqitmoq
rail,temirchi
reflections,ko'zgular
crops,ekinlar
pushing,itarish
proves,isbotlamoq
jimmy,jimmiya
pathetic,achinarli
imperfect,nomukammal
haughty,mag'rur
navy,dengiz floti
fortress,qal'a
hurrying,shoshilmoq
x,x
blessings,barakalar
attempting,urinish
insects,hasharotlar
selling,sotish
appreciation,qadrlash
suppressed,bostirilgan
acquire,egallamoq
offensive,haqoratli
ripe,pishgan
dresses,ko'ylak
reigned,shudring
coldly,sovuq
candles,shamlar
km,km
sixth,oltinchi
blazing,ochko'z
youngest,eng yosh
mask,niqob
Florida,Florida
lecture,leksiya
parlor,mehmonxona
decidedly,qat'iy
whereby,qayerga
Gordon,Gordon
reverend,hurmat
successive,keyingi
perception,idrok
buffalo,qo'tos
sire,buqa
quitted,jaranglagan
keys,Kalitlar
develop,rivojlanmoq
function,funktsiya
morals,axloqsizlik
damned,la'natlangan
vexed,xafa qilmoq
2d,2d
pouring,quyish
bullet,o'q
excessive,haddan tashqari
bind,bog'lamoq
identical,bir xil
cliffs,jarlik
tools,Asboblar
Byron,Bo'ron
Mexican,Meksikalik
piety,taqvodorlik
superstition,xurofot
git,git
substantial,sezilarli
bulk,katta
prevail,ustunlik qilmoq
wiser,dono
preaching,va'z qilish
prolonged,cho'zilgan
annoyed,g'azablangan
Westminster,Vestminster
splendour,ulug'vor
remembering,esdalik
Richmond,Romzor
upset,xafa
cab,kabina
bunch,shilmoq
pencil,qalam
subjected,bo'ysungan
vegetable,sabzavot
exhibit,ko'rgazma
emerged,paydo bo'lgan
cooked,pishirilgan
hay,pichan
Kansas,Kanzas
gale,gelli
preached,va'z qilingan
Arnold,Arnold
trousers,shim
debate,munozara
dated,sanoqli
tumult,g'altak
corruption,buzilish
summons,chaqiriq
comrade,o'rtoq
eternity,abadiylik
hears,eshitadi
lingered,cho'zilgan
propriety,zohirlik
stillness,jimjitlik
partial,qisman
welcomed,ma'qullangan
cabinet,kabinet
proceeds,daromad
vow,qasam
quaint,bosqinchi
soup,sho'rva
beef,mol go'shti
rests,dam oladi
slay,o'ldirmoq
surgeon,jarroh
irresistible,chidab bo'lmaydigan
sealed,muhrlangan
repeating,takrorlash
needn't,kerak emas
allowance,nafaqa
undertaken,ko'rilgan
treachery,xiyonat
posts,Xabarlar
borders,Chegaralar
attendant,xizmatkor
unite,birlashmoq
murderer,qotil
owners,egalari
NM,Nm
sweeping,supurish
unconsciously,ongsiz ravishda
blade,piching
saviour,qutqaruvchi
theories,nazariyalar
Graham,Graham
behaved,o'zini tutgan
pleaded,yollangan
spy,jodu
possesses,ega
lawful,qonuniy
Tommy,Tommiya
seasons,fasllar
withdrawn,olib tashlangan
reckless,ehtiyotsiz
factory,zavod
shades,soyalar
gossip,g'iybat
seventh,yettinchi
attendance,qatnashish
robes,libos
journal,jurnal
systems,Tizimlar
Dryden,Dog '
Maine,Maymoq
token,token
intimacy,yaqinlik
abstract,referat
machines,Mashinalar
bestow,topshirmoq
chanced,qarib qolgan
locks,qulflar
honestly,halol
legitimate,qonuniy
accent,urg'u
symptoms,alomatlar
votes,Ovozlar
ragged,yirtqich
Thursday,Payshanba
manifested,ilohiy
fidelity,sodiqlik
swinging,silliqlash
descending,kamayib borayotgan
sincerely,samimiy
bred,pirog
whereof,qayerdan
indies,hindular
novels,roman
league,liga
failing,muvaffaqiyatsiz
succeeding,muvaffaqiyatli
Santa,Spanta
approve,ma'qullamoq
cautiously,ehtiyotkorlik bilan
miller,millat
afflicted,azob chekkan
lodgings,yostiq
petition,petitsiya
traffic,tirbandlik
sparkling,yorqin
limb,oyoq-qo'l
architecture,arxitektura
disposal,yo'q qilish
carriages,vagonlar
crack,yoriq
kindred,qarindosh
naught,hech narsa emas
ornament,bezak
slew,shilmoq
steward,boshqaruvchi
fantastic,hayoliy
evolution,evolyutsiya
patiently,sabr bilan
reverse,teskari
survey,tadqiqot
dug,dug
amuse,kulgili
stretching,cho'zilgan
Isaac,Isaak
forthwith,shu bilan
contemporary,zamonaviy
foliage,barglar
receives,qabul qilingan
scandal,janjal
donors,donorlar
deliberate,qasddan
influenced,ta'sir qiladigan
intolerable,chidab bo'lmaydigan
hearth,o'choq
symbol,belgi
governments,Hukumatlar
repaired,ta'mirlandi
pleasantly,yoqimli
homage,hurmat
victorious,g'olibona
Columbus,Kolumbus
recovery,tiklanish
defined,aniq
attendants,ko'ngillilar
modesty,kamtarlik
Diana,Diana
washing,yuvish
pavement,yo'lak
unnatural,g'ayritabiiy
decisive,hal qiluvchi
wisely,oqilona
precise,aniq
negative,salbiy
occurrence,hodisa
snatched,qaysar
shaft,shpal
linked,bog'langan
festival,festival
exclusively,faqat
Jove,Jez
wickedness,yovuzlik
visions,Xayollar
Maggie,Magji
rosy,zanjir
carelessly,beparvo
stem,ildizi
corporation,korporatsiya
DEC,Sekund
feeding,ovqatlantirish
Allen,Allen
cows,sigirlar
schemes,sxemalar
preference,afzal
urge,chaqiriq
husbands,Erlar
labours,mehnatkash
shrill,shiddatli
exercises,mashqlar
sovereignty,suverenitet
reduce,kamaytirish
distressed,xafa
clearing,tozalash
removal,olib tashlash
dean,dekan
Scottish,Shotlandiya
assertion,tasdiq
accessible,kirish mumkin bo'lgan
comedy,komediya
flush,xo'rlamoq
code,kod
philosophers,faylasuflar
adequate,to'g'ri
vaguely,xunuk
treason,xiyonat
hunter,ovchi
chambers,palatalar
split,Split
yielding,yon bermoq
newsletter,axborot byulleteni
snake,ilon
pub.,pab.
historian,tarixchi
ass,eshak
intensity,intensivlik
democracy,demokratiya
battery,batareya
draws,chizma
Netherlands,Gollandiya
creed,aqida
liking,yoqtirish
Luke,Luqo
tyrant,zolim
strove,tepmoq
attraction,diqqatga sazovor joy
slaughter,so'yish
dismal,xafa qilmoq
deposited,to'plangan
assent,ishontirmoq
cups,stakan
concert,konsert
downward,pastga
canal,kanal
evenings,kechqurun
wax,mum
detective,detektiv
fancies,xayol
spoiled,buzilib ketgan
revolver,revolver
Murray,Yugur-yugur
earned,maosh oladigan
analysis,tahlil
finer,nozik
paces,taxta
roaring,bo'kirish
prompt,tez
paperwork,qog'oz
wherefore,gunoh
emphasis,urg'u
sharing,almashish
delayed,kechiktirilgan
inherited,meros qilib olingan
bronze,bronza
waking,uyg'onish
garment,kiyim
redistributing,qayta taqsimlash
wholesome,foydali
remorse,pushaymon
Plato,Platon
Morris,Morris
stooped,engashgan
dew,shudring
monk,rohib
thrill,hayajonlanmoq
hue,xue
exclusive,eksklyuziv
funds,mablag '
porter,qulog'i
uncommon,kam uchraydigan
dash,tiramoq
strained,qattiq
confounded,sharmandali
swim,suzmoq
strip,tasma
middle-aged,o'rta yoshli
ultimately,oxiri
team,jamoa
missionary,missioner
esteemed,hurmatli
tracks,treklar
envelope,konvert
whoever,kim bo'lsa
expensive,qimmat
headquarters,bosh qarorgoh
cherished,qadrli
brandy,brendi
startling,hayajon
homer,gomer
talks,muzokaralar
acute,o'tkir
cigarette,sigaret
motor,motor
embarrassed,xijolat bo'lib qolgan
Janet,Janet
volunteer,ko'ngilli
offspring,avlod
network,tarmog'i
reaches,yetib bormoq
indispensable,ajralmas
plane,samolyot
reaction,reaktsiya
regiments,Rizimlar
g,gina
sums,summalar
partially,qisman
prejudices,noto'g'ri qarashlar
proudly,mag'rur
baggage,Yuk
terrace,teras
deaf,kar
allusion,aldamoq
grip,tutmoq
juice,sharbat
Isabel,Izabon
resigned,iste'foga chiqqan
humility,kamtarlik
Benjamin,Benjamin
blast,portlash
ministry,vazirlik
sexual,shahvoniy
Nile,Nil
diameter,diametri
troop,qo'shin
onward,boshi
crowds,olomon
marrying,uylanmoq
tightly,mahkam
sullen,rul
brutal,shafqatsiz
axe,bolta
Holmes,Xamta
penalty,jarima
tops,Topalar
diamond,olmos
boards,taxtalar
corridor,yo'lak
endowed,darakchi
strengthened,mustahkamlamoq
cells,hujayralar
proportions,nisbat
alternate,muqobil
echo,echo
restraint,o'zini tuta bilish
trials,sinovlar
reads,o'qiydi
identity,o'ziga xoslik
headed,boshliq
softened,yumshatilgan
quivering,qaltirash
stages,bosqichlar
sway,shayton
poetical,she'riy
objected,e'tiroz bildirgan
screen,ekran
professed,fosh qilingan
dirt,axloqsizlik
ascertained,aniqlab olingan
era,era
wider,keng
ambassador,elchi
constituted,taniqli
breed,zoti
interference,aralashish
eyebrows,qoshlar
shapes,shakllar
afar,uzoq
consist,iborat
acceptance,qabul qilish
displays,Ko'rsatilgan
flashing,chaqnash
hunted,ovchilik
beauties,go'zallik
lazy,dangasa
shrewd,aqlli
extravagant,isrofgar
momentary,bir lahzali
cordial,samimiy
engineer,muhandis
rapidity,tezlik
Nov,Nova
halt,to'xtatmoq
alternative,alternativa
devils,shaytonlar
stamp,marka
compact,ixcham
whites,oq
breathless,nafassiz
encoding,kodlash
drift,silliqlash
disappear,g'oyib bo'lmoq
roared,baqiriq
revived,tikilgan
counter,peshtaxta
Venus,Vena
imaginary,xayoliy
diminished,kamaygan
honoured,sharafli
5th,5-chi
despatched,xasis
objections,e'tirozlar
ray,ray
climbing,ko'tarilish
attract,jalb qilmoq
astonishing,hayratda qolgan
competition,musobaqa
suggestions,takliflar
ink,siyoh
oft,tiniq
crystal,billur
shower,dush
diseases,Kasallik
Ferdinand,Fergchi
obedient,itoatkor
draught,qoralama
wondrous,ajoyib
await,kutmoq
armour,zirhli
massive,katta
bottles,idishlar
kin,qarindosh
cellar,yerto'la
falsehood,yolg'on
pillars,ustunlar
Edgar,Edgar
philosophical,falsafiy
Martha,Marta
worlds,dunyo
memorable,unutilmas
Jacques,Jak
detected,aniqlangan
stealing,o'g'irlash
noisy,shovqinli
henceforth,bundan buyon
Cicero,Roli
laden,yotgan
frost,sovuq
device,qurilma
glare,yarqirash
touches,tepa
senate,senat
lasting,uzoq davom etadigan
communion,birlashish
transport,transport
Constantinople,Konstantinopol
coffin,tobut
eventually,oxir-oqibat
Johnny,Johil
enclosed,o'ralgan
forgiveness,kechirish
awfully,juda
clinging,yopishib oladigan
darkened,qoraygan
contemplation,o'ylash
termed,belgilangan
manufacture,ishlab chiqarish
swallow,yutmoq
commonplace,odat
Nancy,Nensi
resembled,o'xshash
she'd,u
labors,mehnatkash
contracted,shartnoma tuzilgan
inscription,yozuv
comfortably,qulay
indulge,yondirmoq
indulgence,ko'ngliga qaytish
bravely,jasur
kneeling,tiz cho'kib
yea,ha
keenly,juda katta
exhibition,ko'rgazma
agricultural,qishloq xo'jaligiga oid
enlightened,ma'rifatli
quest,qidiruv
compliments,maqtovlar
crest,horg'in
extension,uzaytirish
uneasiness,xaqqos
constitute,tashkil qilmoq
inflicted,cho'zilib ketgan
lakes,ko'llar
swing,silliqlash
meadow,o'tloq
noblest,ojiz
downloading,yuklab olish
complex,murakkab
controversy,qarama-qarshilik
freed,ozod qilmoq
resignation,iste'foga chiqish
tempest,bo'hton
guidance,yo'l-yo'riq
prospects,istiqbollar
humbly,kamtarlik bilan
lined,cho'zilgan
serene,sof
shrugged,qisilib
honours,faxriy
roughly,taxminan
checks,Tekshirishlar
remarkably,diqqat bilan
dainty,ziqna
overhead,ortiqcha
commencement,boshlanish
singularly,yakka
brightness,yorqinlik
oppression,zulm
repeatedly,bir necha bor
conspiracy,fitna
restrain,cheklamoq
splendor,ulug'vor
preservation,saqlash
pub,pub
pepper,qalapmir
basin,havzasi
creeping,sudraluvchi
Matthew,Mato
publicly,ochiq
Percy,Persi
continuing,davom etadigan
grove,darbadar
calamity,musibat
pony,pony
vigour,kuch
melody,kuy
profitable,foydali
descendants,avlodlar
hire,yollamoq
speculation,mish-mishlar
discoveries,kashfiyotlar
accepts,qabul qiladi
drunken,mast
candidate,nomzod
principally,asosan
worried,xavotirli
obstinate,qaysar
hasten,shoshilmoq
foreigners,Chet elliklar
elderly,keksa
overwhelmed,qattiq
instincts,instinktlar
telegraph,telegraf
Russell,Russell
university,universitet
ghastly,sharmandali
patron,homiy
varying,o'zgaruvchan
barbarous,vahshiy
celestial,samoviy
t',t '
patriotism,vatanparvarlik
modify,o'zgartirmoq
earnestness,anhorchilik
exertion,zo'ravonlik
fox,tulki
refusing,rad qilmoq
horsemen,otliqlar
inspection,tekshirish
stations,stantsiyalar
grieved,xafa bo'lgan
louder,balandroq
bursting,portlash
regretted,afsuslanmoq
mournful,motam
pursuing,ta'qib qilmoq
traitor,xoin
associations,Uyushmalar
cautious,ehtiyotkor
foundations,asoslari
stamped,muhrlangan
prior,avval
undertook,zumda
telegram,telegramma
beggar,tilanchi
chimney,kavasi
complicated,murakkab
Davis,Devis
striving,intilish
magistrates,magistr
converse,ayni
graces,kavasi
wiped,pishirilgan
oars,eshkak eshish
apology,kechirim so'rash
scared,qo'rqqan
imprisonment,ozodlikdan mahrum qilish
eastward,sharqqa
substitute,o'rnini bosuvchi
Yahweh,Xom
handful,bir hovuch
usage,foydalanish
lodged,yoyilgan
of.,.
villain,yovuz
banished,quvg'in
restoration,qayta tiklash
serpent,ilon
hedge,to'siq
k,k
jurisdiction,yurisdiktsiya
captains,kapitanlar
settlers,ko'chmanchi
gaining,erishmoq
valiant,jasur
primary,birlamchi
storms,bo'ron
beam,nur
Victoria,Viktoriya
tour,tur
prophecy,bashorat
spectacles,ko'zoynak
obsolete,eskirgan
buying,sotib olmoq
shepherd,cho'pon
wells,quduq
Harriet,Xarriet
exaggerated,bo'rttirib yuborilgan
heated,qizdirilgan
penetrated,kirib boradigan
travels,sayohat
earl,xo'rlamoq
hereditary,irsiy
Ali,Ali
supernatural,g'ayritabiiy
competent,vakolatli
piled,pashsha
hostess,uy egasi
agriculture,qishloq xo'jaligi
boughs,butoq
urgent,shoshilinch
gratified,mamnun
suffice,kifoya qilmoq
ports,portlar
drifted,tarqalgan
accuracy,aniqlik
deceased,marhum
circular,dumaloq
securing,ta'minlamoq
possibilities,imkoniyatlar
Rhine,Rin
alert,hushyor
neighboring,qo'shni
democratic,demokratik
Quebec,Kvebek
bud,kurtak
accounted,hisobga olingan
aided,yordamchi
Augustus,Avgust
blanket,bezak
hail,do'l
pretence,bahona
beams,nurlar
Andy,Ancha
pig,cho'chqa
shaped,shakllangan
